"key","label_ko","status","molecules","source","scope_or_reason"
"Fruity|Other Fruit|Green Apple","청사과","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Other Fruit|Red Apple","빨간사과","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Other Fruit|Pear","배","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Other Fruit|Asian Pear","배(동양배)","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Other Fruit|Grape","포도","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Other Fruit|White Grape","청포도","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Other Fruit|Red Grape","적포도","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Other Fruit|Kiwi","키위","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Other Fruit|Watermelon","수박","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Other Fruit|Melon","멜론","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Other Fruit|Cantaloupe","캔털롭 멜론","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Other Fruit|Honeydew","허니듀 멜론","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Other Fruit|Persimmon","감","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Other Fruit|Pomegranate","석류","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Other Fruit|Quince","마르멜로","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Berry|Berry","베리류","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Berry|Raspberry","라즈베리","identified","β-Ionone; Linalool; Geraniol","https://doi.org/10.1021/jf0498721","AEDA 결과에서 선택한 주요 성분이며 세 분자 사이의 보편적 기여도 순서는 미확정입니다."
"Fruity|Berry|Strawberry","딸기","identified","Ethyl butanoate; Mesifurane; Ethyl hexanoate","https://doi.org/10.1111/j.1750-3841.2007.00445.x","선택 정량 성분과 냉동 시료 범위의 결과입니다. 다른 주요 성분도 있으며, 품종별 OAV 및 함량 순서는 다릅니다."
"Fruity|Berry|Wild Strawberry","야생 딸기","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Berry|Blackberry","블랙베리","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Berry|Blueberry","블루베리","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Berry|Cranberry","크랜베리","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Berry|Acai","아사이베리","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Berry|Goji Berry","구기자","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Berry|Elderberry","엘더베리","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Berry|Boysenberry","보이젠베리","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Berry|Currant","커런트","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Berry|Black Currant","블랙커런트","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Berry|Red Currant","빨간커런트","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Berry|Loganberry","로건베리","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Berry|Mulberry","오디","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Berry|Sea Buckthorn","비타민나무 열매","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Berry|Cloudberry","클라우드베리","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Berry|Gooseberry","구스베리","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Stone Fruit|Stone Fruit","핵과류","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Stone Fruit|Peach","복숭아","identified","γ-Decalactone; Hexanal; (R)-(−)-Linalool","https://doi.org/10.1007/s00217-018-3145-x","해당 5품종 범위의 결과입니다. 백도·황도·납작복숭아에 자동 적용하지 않습니다. 원문 세부조건 추가 확인이 필요합니다."
"Fruity|Stone Fruit|White Peach","백도","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Stone Fruit|Yellow Peach","황도","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Stone Fruit|Donut Peach","도넛 복숭아","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Stone Fruit|Apricot","살구","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Stone Fruit|Cherry","체리","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Stone Fruit|Sweet Cherry","단체리","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Stone Fruit|Sour Cherry","신체리","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Stone Fruit|Black Cherry","블랙체리","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Stone Fruit|Maraschino Cherry","마라스키노 체리","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Stone Fruit|Plum","자두","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Stone Fruit|Red Plum","빨간자두","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Stone Fruit|Yellow Plum","노란자두","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Stone Fruit|Damson Plum","담슨 자두","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Stone Fruit|Nectarine","넥타린","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Stone Fruit|White Nectarine","백넥타린","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Stone Fruit|Loquat","비파","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Tropical Fruit|Tropical Fruit","열대과일류","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Tropical Fruit|Pineapple","파인애플","ranked","Furaneol (HDF); Ethyl 2-methylpropanoate; Ethyl 2-methylbutanoate","https://doi.org/10.1271/bbb.69.1323","이 품종·시료의 선택 정량 12종 내 순서입니다. 모든 파인애플이나 건조·구운 파인애플에 적용하지 않습니다."
"Fruity|Tropical Fruit|Fresh Pineapple","신선한 파인애플","ranked","Furaneol (HDF); Ethyl 2-methylpropanoate; Ethyl 2-methylbutanoate","https://doi.org/10.1271/bbb.69.1323","이 품종·시료의 선택 정량 12종 내 순서입니다. 모든 파인애플이나 건조·구운 파인애플에 적용하지 않습니다."
"Fruity|Tropical Fruit|Grilled Pineapple","구운 파인애플","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Tropical Fruit|Coconut","코코넛","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Tropical Fruit|Young Coconut","어린 코코넛","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Tropical Fruit|Passion Fruit","패션프룻","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Tropical Fruit|Guava","구아바","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Tropical Fruit|Pink Guava","핑크 구아바","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Tropical Fruit|White Guava","화이트 구아바","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Tropical Fruit|Banana","바나나","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Tropical Fruit|Ripe Banana","익은 바나나","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Tropical Fruit|Green Banana","덜 익은 바나나","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Tropical Fruit|Mango","망고","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Tropical Fruit|Ripe Mango","익은 망고","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Tropical Fruit|Green Mango","풋망고","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Tropical Fruit|Lychee","리치","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Tropical Fruit|Star Fruit","스타프룻","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Tropical Fruit|Papaya","파파야","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Tropical Fruit|Dragon Fruit","용과","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Tropical Fruit|Jackfruit","잭프룻","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Tropical Fruit|Kiwano","키와노","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Tropical Fruit|Durian","두리안","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Tropical Fruit|Longan","용안","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Tropical Fruit|Mangosteen","망고스틴","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Tropical Fruit|Rambutan","람부탄","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Tropical Fruit|Soursop","사워삽","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Tropical Fruit|Breadfruit","브레드프룻","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Tropical Fruit|Feijoa","페이조아","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Tropical Fruit|Cherimoya","체리모야","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Dried Fruit|Raisin","건포도","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Dried Fruit|Golden Raisin","골든 건포도","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Dried Fruit|Sultana","술타나","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Dried Fruit|Prune","자두말린것","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Dried Fruit|Fig","무화과","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Dried Fruit|Date","대추야자","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Dried Fruit|Medjool Date","메드줄 대추","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Dried Fruit|Dried Apple","말린사과","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Dried Fruit|Dried Cherry","말린체리","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Dried Fruit|Dried Apricot","말린살구","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Dried Fruit|Dried Mango","말린망고","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Dried Fruit|Dried Cranberry","말린크랜베리","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Dried Fruit|Dried Blueberry","말린블루베리","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Dried Fruit|Dried Banana","바나나칩","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Dried Fruit|Dried Pineapple","말린파인애플","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Sweet|Brown Sugar|Raw Sugar","원당","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Sweet|Brown Sugar|Muscovado","무스코바도","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Sweet|Brown Sugar|Demerara","데메라라","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Sweet|Brown Sugar|Turbinado","터비나도","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Sweet|Brown Sugar|Brown Sugar","흑설탕","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Sweet|Caramelized|Caramel","캐러멜","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Sweet|Caramelized|Toffee","토피","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Sweet|Caramelized|Butterscotch","버터스카치","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Sweet|Caramelized|Burnt Sugar","탄설탕","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Sweet|Vanilla|Honey","꿀","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Sweet|Vanilla|Wildflower Honey","야생화꿀","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Sweet|Vanilla|Acacia Honey","아카시아꿀","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Sweet|Vanilla|Vanilla","바닐라","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Sweet|Vanilla|Vanilla Bean","바닐라빈","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
